RESPONSÁVEL;CLIENTE;BANDEIRA;NOME PDV NOVO;NOME PDV ANTIGO;CNPJ;ENDEREÇO;CANAL;STORE TYPE;RESPONSÁVEL;ROTA;CIDADE;UF;CEP;REGIONAL
RODRIGO ALMEIDA;A.DIAS;A.DIAS;S00191 - A.DIAS - AVENIDA PRESIDENTE COSTA E SILVA - 609 - PRAIA GRANDE - SP;A.DIAS - ESCRITORIO PRAIA GRANDE/SP;9,57073E+12;Avenida Presidente Costa e Silva, 609;ESPECIALIZADO;ESPECIALIZADO;PAULO SERGIO MARQUES DA SILVA;SPC2;PRAIA GRANDE;SP;11701000;SUDESTE
RODRIGO ALMEIDA;A.DIAS;A.DIAS;S00114 - A.DIAS - R. TEN. ALBERTOICCIATI - 120 - SAO PAULO - SP;A.DIAS - ESCRITORIO SAO PAULO/SP;5,9513E+12;R. Ten. Albertoicciati, 120;ESPECIALIZADO;ESPECIALIZADO;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SÃO PAULO;SP;1140130;SUDESTE
RODRIGO ALMEIDA;A.DIAS;A.DIAS;S01082 - A.DIAS - AVENIDA CASSIANO RICARDO 521 - SN - SAO JOSE DOS CAMPOS - SP;A.DIAS - SHOW ROOM SAO JOSE DOS CAMPOS/SP;9,57073E+12;Avenida Cassiano Ricardo 521;ESPECIALIZADO;ESPECIALIZADO;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SAO JOSE DOS CAMPOS;SP;12246870;SUDESTE
MANUELA BEZERRA;AMBIENTE;AMBIENTE;S00403 - AMBIENTE - AVENIDA DO COWBOY - 345 - CASCAVEL - PR;AMBIENTE - CASCAVEL/PR;5,10216E+12;Avenida Do Cowboy, 345;ESPECIALIZADO;ESPECIALIZADO;MARCIO JOSE FLORES PEREIRA;SUL_1;CASCAVEL;PR;85805450;SUL
MANUELA BEZERRA;AMBIENTE;AMBIENTE;S00233 - AMBIENTE - RUA BARTOLOMEU LOURENCO DE GUSMAO - 4916 - CURITIBA - PR;AMBIENTE - CURITIBA /PR;5,10216E+12;Rua Bartolomeu Lourenco De Gusmao, 4916;ESPECIALIZADO;ESPECIALIZADO;MARCIO JOSE FLORES PEREIRA;SUL_1;CURITIBA;PR;81730040;SUL
MANUELA BEZERRA;AMBIENTE;AMBIENTE;S00667 - AMBIENTE - R. MANOEL BANDEIRA - 147 - FOZ DO IGUACU - PR;AMBIENTE - FOZ IGUACU/PR;5,10216E+12;R. Manoel Bandeira, 147;ESPECIALIZADO;ESPECIALIZADO;MARCIO JOSE FLORES PEREIRA;SUL_1;FOZ DO IGUACU;PR;85864210;SUL
MANUELA BEZERRA;AMBIENTE;AMBIENTE;S00366 - AMBIENTE - AVENIDA TIRADENTES - 386 - LONDRINA - PR;AMBIENTE - LONDRINA/PR;9,68552E+12;Avenida Tiradentes, 386;ESPECIALIZADO;ESPECIALIZADO;MARCIO JOSE FLORES PEREIRA;SUL_1;LONDRINA;PR;86070545;SUL
MANUELA BEZERRA;AMBIENTE;AMBIENTE;S00152 - AMBIENTE - AVENIDA DR GASTAO VIDIGAL - 165 - MARINGA - PR;AMBIENTE - MARINGA/PR;5,10216E+12;Avenida Dr Gastao Vidigal, 165;ESPECIALIZADO;ESPECIALIZADO;MARCIO JOSE FLORES PEREIRA;SUL_1;MARINGA;PR;87050440;SUL
MANUELA BEZERRA;ANGELONI;ANGELONI;S01696 - ANGELONI - AVENIDA GOVERNADOR IVO SILVEIRA - 2445 - FLORIANOPOLIS - SC;01696 - ANGELONI - AVENIDA GOVERNADOR IVO SILVEIRA - 2445 - FLORIANOPOLIS - SC;8,3647E+13;AVENIDA GOVERNADOR IVO SILVEIRA, 2445;VAREJO;HIPERMERCADO;MARCIO JOSE FLORES PEREIRA;SUL_1;FLORIANOPOLIS;SC;88085001;SUL
MANUELA BEZERRA;ANGELONI;ANGELONI;S01858 - ANGELONI - AVENIDA GOVERNADOR IRINEU BORNHAUSEN - 5288 - FLORIANOPOLIS - SC;01858 - ANGELONI - AVENIDA GOVERNADOR IRINEU BORNHAUSEN - 5288 - FLORIANOPOLIS - SC;8,3647E+13;AVENIDA GOVERNADOR IRINEU BORNHAUSEN, 5288;VAREJO;HIPERMERCADO;MARCIO JOSE FLORES PEREIRA;SUL_1;FLORIANOPOLIS;SC;88025202;SUL
MANUELA BEZERRA;ANGELONI;ANGELONI;S01939 - ANGELONI - RUA HUMBERTO DE CAMPOS - 77 - BLUMENAU - SC;01939 - ANGELONI - RUA HUMBERTO DE CAMPOS - 77 - BLUMENAU - SC;8,3647E+13;RUA HUMBERTO DE CAMPOS 77;VAREJO;HIPERMERCADO;MARCIO JOSE FLORES PEREIRA;SUL_1;BLUMENAU;SC;89036050;SUL
MANUELA BEZERRA;ANGELONI;ANGELONI;S03478 - ANGELONI - AVENIDA 4 QUARTA AVENIDA - 880 - BALNEARIO CAMBORIU - SC;03478 - ANGELONI - AVENIDA 4 QUARTA AVENIDA - 880 - BALNEARIO CAMBORIU - SC;8,3647E+13;AVENIDA 4;VAREJO;HIPERMERCADO;MARCIO JOSE FLORES PEREIRA;SUL_1;BALNEARIO CAMBORIU;SC;88330110;SUL
MANUELA BEZERRA;ANGELONI;ANGELONI;S03710 - ANGELONI - RUA BRUSQUE - 358 - ITAJAI - SC;03710 - ANGELONI - RUA BRUSQUE - 358 - ITAJAI - SC;8,3647E+13;RUA BRUSQUE 358;VAREJO;HIPERMERCADO;MARCIO JOSE FLORES PEREIRA;SUL_1;ITAJAI;SC;88303000;SUL
MANUELA BEZERRA;ANGELONI;ANGELONI;S04954 - ANGELONI - RUA DOUTOR JOAO COLIN - 2500 - JOINVILLE - SC;04954 - ANGELONI - RUA DOUTOR JOAO COLIN - 2500 - JOINVILLE - SC;8,3647E+13;RUA DR. JOAO COLIN 2500;VAREJO;HIPERMERCADO;MARCIO JOSE FLORES PEREIRA;SUL_1;JOINVILLE;SC;89204002;SUL
MANUELA BEZERRA;ANGELONI;ANGELONI;S07201 - ANGELONI - RUA MINISTRO CALOGERAS - 1639 - JOINVILLE - SC;07201 - ANGELONI - RUA MINISTRO CALOGERAS - 1639 - JOINVILLE - SC;8,3647E+13;RUA MINISTRO CALOGERAS 1;VAREJO;HIPERMERCADO;MARCIO JOSE FLORES PEREIRA;SUL_1;JOINVILLE;SC;89202005;SUL
MANUELA BEZERRA;ANGELONI;ANGELONI;S07465 - ANGELONI - RODOVIA ARMANDO CALIL BULOS - 6375 - FLORIANOPOLIS - SC;07465 - ANGELONI - RODOVIA ARMANDO CALIL BULOS - 6375 - FLORIANOPOLIS - SC;8,3647E+13;RODOVIA ARMANDO CALIL BULOS 6375;VAREJO;HIPERMERCADO;MARCIO JOSE FLORES PEREIRA;SUL_1;FLORIANOPOLIS;SC;88058001;SUL
MANUELA BEZERRA;ANGELONI;ANGELONI;S07546 - ANGELONI - ALAMEDA DOUTOR CARLOS DE CARVALHO - 2050 - CURITIBA - PR;07546 - ANGELONI - ALAMEDA DOUTOR CARLOS DE CARVALHO - 2050 - CURITIBA - PR;8,3647E+13;ALAMEDA DOUTOR CARLOS DE CARVALHO 2;VAREJO;HIPERMERCADO;MARCIO JOSE FLORES PEREIRA;SUL_1;CURITIBA;PR;80730201;SUL
RODRIGO ALMEIDA;BHP;BHP;S00700 - BHP - AV. SENADOR PINHEIRO MACHADO - 22 - SANTOS - SP;BHP - SANTOS/SP;5,3484E+13;Av. Senador Pinheiro Machado, 22;ESPECIALIZADO;ESPECIALIZADO;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SANTOS;SP;11075000;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S03839 - CLIMA RIO - AVENIDA GOVERNADOR PEDRO TOLEDO - 671 - CAMPINAS - SP;CLIMA RIO - CAMPINAS/SP;8,82417E+12;Avenida Governador Pedro Toledo, 671;ESPECIALIZADO;ESPECIALIZADO;ALEXANDRE RIBEIRO LIMA;SPI_2;CAMPINAS;SP;1117010;SUDESTE
RODRIGO ALMEIDA;CENTRAL AR;CENTRAL AR;S01963 - CENTRAL AR - AVENIDA. BRASILIA - 2121 - ARACATUBA - SP;CENTRAL AR - ARACATUBA/SP;8,38293E+12;Avenida. Brasília, 2121;ESPECIALIZADO;ESPECIALIZADO;ALEXANDRE RIBEIRO LIMA;SPI_2;ARACATUBA;SP;16018000;SUDESTE
RODRIGO ALMEIDA;CENTRAL AR;CENTRAL AR;S02005 - CENTRAL AR - R. GOMES DE CARVALHO - 1069 - SAO PAULO - SP;CENTRAL AR - ESCRITORIO SAO PAULO/SP;8,38293E+12;R. GOMES DE CARVALHO, 1069 - VILA OLIMPIA;ESPECIALIZADO;ESPECIALIZADO;LIEDY AQUINO GOMES DOS SANTOS;SPC1;SÃO PAULO;SP;4547004;SUDESTE
RODRIGO ALMEIDA;CENTRAL AR;CENTRAL AR;S00156 - CENTRAL AR - RUA DO FICO - 211 - ARACATUBA - SP;CENTRAL AR - FRANQUIA ARACATUBA/SP;3,46289E+13;Rua Do Fico, 211;ESPECIALIZADO;ESPECIALIZADO;ALEXANDRE RIBEIRO LIMA;SPI_2;ARACATUBA;SP;16050387;SUDESTE
RODRIGO ALMEIDA;CENTRAL AR;CENTRAL AR;S00181 - CENTRAL AR - AV. ARAXA - QD 03 LOTE 05 SLA 01 - SN - GOIANIA - GO;CENTRAL AR - FRANQUIA GOIANIA/GO;5,90608E+13;AV. ARAXA - QD 03 LOTE 05 SLA 01;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;GOIANIA;GO;74315020;CENTRO-OESTE
RODRIGO ALMEIDA;CENTRAL AR;CENTRAL AR;S00190 - CENTRAL AR - AV. SELIM JOSE DE SALES - 1108 - IPATINGA - MG;CENTRAL AR - FRANQUIA IPATINGA/MG;6,09411E+13;Av. Selim Jose de Sales, 1108;ESPECIALIZADO;ESPECIALIZADO;TATIANE SOUZA DOS SANTOS;NE_1;Ipatinga;MG;35164506;SUDESTE
RODRIGO ALMEIDA;CENTRAL AR;CENTRAL AR;S00187 - CENTRAL AR - FRANQUIA ITURAMA/MG;CENTRAL AR - FRANQUIA ITURAMA/MG;6,24894E+13;R. CIDADE DO PRATA, 1015;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;ITURAMA;MG;38280000;SUDESTE
RODRIGO ALMEIDA;CENTRAL AR;CENTRAL AR;S00135 - CENTRAL AR - FRANQUIA LAGOS/RJ;CENTRAL AR - FRANQUIA LAGOS/RJ;4,51515E+13;Av. Cândido Tito de azeredo, 31;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;Cabo frio;RJ;28928536;SUDESTE
RODRIGO ALMEIDA;CENTRAL AR;CENTRAL AR;S00106 - CENTRAL AR - AVENIDA MADRE LEONIA MILITO - 598 - LONDRINA - PR;CENTRAL AR - FRANQUIA LONDRINA/PR;6,11956E+13;AVENIDA MADRE LEONIA MILITO, 598;ESPECIALIZADO;ESPECIALIZADO;MARCIO JOSE FLORES PEREIRA;SUL_1;LONDRINA;PR;86050270;SUL
MANUELA BEZERRA;DUFRIO;DUFRIO;S01353 - DUFRIO - AVENIDA GOVERNADOR PEDRO DE TOLEDO - 431 E 465 - CAMPINAS - SP;DUFRIO - CAMPINAS/SP;1,75424E+12;Avenida Governador Pedro De Toledo, 431 E 465;ESPECIALIZADO;ESPECIALIZADO;ALEXANDRE RIBEIRO LIMA;SPI_2;CAMPINAS;SP;13070752;SUDESTE
RODRIGO ALMEIDA;CENTRAL AR;CENTRAL AR;S00135 - CENTRAL AR - AV. DAS AMERICAS - 18000 - RIO DE JANEIRO - RJ;CENTRAL AR - RIO DE JANEIRO/RJ;4,41285E+13;Av. das Américas, 18000;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;RIO DE JANEIRO;RJ;22790701;SUDESTE
RODRIGO ALMEIDA;CENTRAL AR;CENTRAL AR;S00160 - CENTRAL AR - SANTOS/SP;CENTRAL AR - SANTOS/SP;3,07796E+13;AVENIDA WASHINGTON LUIS, 74;ESPECIALIZADO;ESPECIALIZADO;PAULO SERGIO MARQUES DA SILVA;SPC2;SANTOS;SP;11050200;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S00164 - CLIMA RIO - RUA MANOEL JOAO GONCALVES - 84 - SAO GONCALO - RJ;CLIMA RIO - ALCANTARA/RJ;5,27974E+12;Rua Manoel Joao Goncalves, 84, Loja 2;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;SAO GONCALO;RJ;24711080;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S05025 - CLIMA RIO - TRAVESSA DIJALMA DUTRA - 164 - BELEM - PA;CLIMA RIO - BELEM/PA;8,82417E+12;Travessa Dijalma Dutra, 164;ESPECIALIZADO;ESPECIALIZADO;DIOGO DO NASCIMENTO SANTOS;RJ;BELEM;PA;66113010;NORTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S01380 - CLIMA RIO - RUA DOS TUPIS - 1518 - BELO HORIZONTE - MG;CLIMA RIO - BELO HORIZONTE/MG;8,82417E+12;Rua Dos Tupis, 1518;ESPECIALIZADO;ESPECIALIZADO;TATIANE SOUZA DOS SANTOS;NE_1;BELO HORIZONTE;MG;30190032;SUDESTE
RODRIGO ALMEIDA;CLIMA RIO;CLIMA RIO;S03596 - CLIMA RIO - AV. ENG. DOMINGOS FERREIRA - 1274 - RECIFE - PE;CLIMA RIO - BOA VIAGEM/PE;8,82417E+12;Av. Eng. Domingos Ferreira, 1274;ESPECIALIZADO;ESPECIALIZADO;LUIZ FALCAO DE SOUZA NETO;NE_2;Recife;PE;51011050;NORDESTE
