REDE;CLIENTE;LOJA;CONSULTOR;CNPJ;NOME PDV
ANGELONI;ANGELONI;09913 - ANGELONI - RODOVIA BR 101 KM 154 - SN - PORTO BELO - SC;MARCIO JOSE FLORES PEREIRA;8,36E+13;09913 - ANGELONI - RODOVIA BR 101 KM 154 - SN - PORTO BELO - SC
ANGELONI;ANGELONI;07465 - ANGELONI - RODOVIA ARMANDO CALIL BULOS - 6375 - FLORIANOPOLIS - SC;MARCIO JOSE FLORES PEREIRA;8,36E+13;07465 - ANGELONI - RODOVIA ARMANDO CALIL BULOS - 6375 - FLORIANOPOLIS - SC
ANGELONI;ANGELONI;03710 - ANGELONI - RUA BRUSQUE - 358 - ITAJAI - SC;MARCIO JOSE FLORES PEREIRA;8,36E+13;03710 - ANGELONI - RUA BRUSQUE - 358 - ITAJAI - SC
ANGELONI;ANGELONI;03478 - ANGELONI - AVENIDA 4 QUARTA AVENIDA - 880 - BALNEARIO CAMBORIU - SC;MARCIO JOSE FLORES PEREIRA;8,36E+13;03478 - ANGELONI - AVENIDA 4 QUARTA AVENIDA - 880 - BALNEARIO CAMBORIU - SC
ANGELONI;ANGELONI;01858 - ANGELONI - AVENIDA GOVERNADOR IRINEU BORNHAUSEN - 5288 - FLORIANOPOLIS - SC;MARCIO JOSE FLORES PEREIRA;8,36E+13;01858 - ANGELONI - AVENIDA GOVERNADOR IRINEU BORNHAUSEN - 5288 - FLORIANOPOLIS - SC
ANGELONI;ANGELONI;01696 - ANGELONI - AVENIDA GOVERNADOR IVO SILVEIRA - 2445 - FLORIANOPOLIS - SC;MARCIO JOSE FLORES PEREIRA;8,36E+13;01696 - ANGELONI - AVENIDA GOVERNADOR IVO SILVEIRA - 2445 - FLORIANOPOLIS - SC
ANGELONI;ANGELONI;01424 - ANGELONI - RUA ESTEVES JUNIOR - 307 - FLORIANOPOLIS - SC;MARCIO JOSE FLORES PEREIRA;8,36E+13;01424 - ANGELONI - RUA ESTEVES JUNIOR - 307 - FLORIANOPOLIS - SC
ANGELONI;ANGELONI;10415 - ANGELONI - RUA JOAO HUSS - 74 - LONDRINA - PR;BIBIANO RODRIGUES NETO;8,36E+13;10415 - ANGELONI - RUA JOAO HUSS - 74 - LONDRINA - PR
ANGELONI;ANGELONI;07546 - ANGELONI - ALAMEDA DOUTOR CARLOS DE CARVALHO - 2050 - CURITIBA - PR;BIBIANO RODRIGUES NETO;8,36E+13;07546 - ANGELONI - ALAMEDA DOUTOR CARLOS DE CARVALHO - 2050 - CURITIBA - PR
ANGELONI;ANGELONI;07201 - ANGELONI - RUA MINISTRO CALOGERAS - 1639 - JOINVILLE - SC;BIBIANO RODRIGUES NETO;8,36E+13;07201 - ANGELONI - RUA MINISTRO CALOGERAS - 1639 - JOINVILLE - SC
