STORE NAME - NOVA;NOMENCLATURA ANTIGA;Viagem;CONSULTOR;CNPJ (CÓDIGO PDV);BANDEIRA;STATE;CITY;BAIRRO;ADDRESS;CEP
09913 - ANGELONI - RODOVIA BR 101 KM 154 - SN - PORTO BELO - SC;09913 - ANGELONI - RODOVIA BR 101 KM 154 - SN - PORTO BELO - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;PORTO BELO;;RODOVIA BR, 101;88210000
07465 - ANGELONI - RODOVIA ARMANDO CALIL BULOS - 6375 - FLORIANOPOLIS - SC;07465 - ANGELONI - RODOVIA ARMANDO CALIL BULOS - 6375 - FLORIANOPOLIS - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;FLORIANOPOLIS;;RODOVIA ARMANDO CALIL BULOS, 6375;88058001
03710 - ANGELONI - RUA BRUSQUE - 358 - ITAJAI - SC;03710 - ANGELONI - RUA BRUSQUE - 358 - ITAJAI - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;ITAJAI;;RUA BRUSQUE, 358;88303000
03478 - ANGELONI - AVENIDA 4 QUARTA AVENIDA - 880 - BALNEARIO CAMBORIU - SC;03478 - ANGELONI - AVENIDA 4 QUARTA AVENIDA - 880 - BALNEARIO CAMBORIU - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;BALNEARIO CAMBORIU;;AVENIDA, 4;88330110
01858 - ANGELONI - AVENIDA GOVERNADOR IRINEU BORNHAUSEN - 5288 - FLORIANOPOLIS - SC;01858 - ANGELONI - AVENIDA GOVERNADOR IRINEU BORNHAUSEN - 5288 - FLORIANOPOLIS - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;FLORIANOPOLIS;AGRONOMICA;AVENIDA GOVERNADOR IRINEU BORNHAUSEN, 5288;88025202
01696 - ANGELONI - AVENIDA GOVERNADOR IVO SILVEIRA - 2445 - FLORIANOPOLIS - SC;01696 - ANGELONI - AVENIDA GOVERNADOR IVO SILVEIRA - 2445 - FLORIANOPOLIS - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;FLORIANOPOLIS;CAPOEIRAS;AVENIDA GOVERNADOR IVO SILVEIRA, 2445;88085001
01424 - ANGELONI - RUA ESTEVES JUNIOR - 307 - FLORIANOPOLIS - SC;01424 - ANGELONI - RUA ESTEVES JUNIOR - 307 - FLORIANOPOLIS - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;FLORIANOPOLIS;;RUA ESTEVES JUNIOR, 307;88015130
10415 - ANGELONI - RUA JOAO HUSS - 74 - LONDRINA - PR;10415 - ANGELONI - RUA JOAO HUSS - 74 - LONDRINA - PR;;BIBIANO RODRIGUES NETO;8,3647E+13;ANGELONI;PR;LONDRINA;;RUA JOAO HUSS, 74;86050490
07546 - ANGELONI - ALAMEDA DOUTOR CARLOS DE CARVALHO - 2050 - CURITIBA - PR;07546 - ANGELONI - ALAMEDA DOUTOR CARLOS DE CARVALHO - 2050 - CURITIBA - PR;;BIBIANO RODRIGUES NETO;8,3647E+13;ANGELONI;PR;CURITIBA;;ALAMEDA DOUTOR CARLOS DE CARVALHO, 2;80730201
07201 - ANGELONI - RUA MINISTRO CALOGERAS - 1639 - JOINVILLE - SC;07201 - ANGELONI - RUA MINISTRO CALOGERAS - 1639 - JOINVILLE - SC;;BIBIANO RODRIGUES NETO;8,3647E+13;ANGELONI;SC;JOINVILLE;;RUA MINISTRO CALOGERAS, 1;89202005
04954 - ANGELONI - RUA DOUTOR JOAO COLIN - 2500 - JOINVILLE - SC;04954 - ANGELONI - RUA DOUTOR JOAO COLIN - 2500 - JOINVILLE - SC;;BIBIANO RODRIGUES NETO;8,3647E+13;ANGELONI;SC;JOINVILLE;;RUA DR. JOAO COLIN, 2500;89204002
09590 - ANGELONI - AVENIDA DOUTOR NEREU RAMOS - 439 - SAO FRANCISCO DO SUL - SC;09590 - ANGELONI - AVENIDA DOUTOR NEREU RAMOS - 439 - SAO FRANCISCO DO SUL - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;SAO FRANCISCO DO SUL;;AVENIDA DOUTOR NEREU RAMOS, 439;89240000
09247 - ANGELONI - RUA MARTIN LUTHER - 135 - BRUSQUE - SC;09247 - ANGELONI - RUA MARTIN LUTHER - 135 - BRUSQUE - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;BRUSQUE;CENTRO I;RUA MARTIN LUTHER, 135;88350045
08780 - ANGELONI - AVENIDA GETULIO VARGAS - 1259 - ARARANGUA - SC;08780 - ANGELONI - AVENIDA GETULIO VARGAS - 1259 - ARARANGUA - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;ARARANGUA;URUSSANGUINHA;AVENIDA GETULIO VARGAS, 1259;88905482
08003 - ANGELONI - RUA CORONEL TEIXEIRA OLIVEIRA - 128 - BIGUACU - SC;08003 - ANGELONI - RUA CORONEL TEIXEIRA OLIVEIRA - 128 - BIGUACU - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;BIGUACU;PRADO DE BAIXO;RUA CORONEL TEIXEIRA OLIVEIRA, 128;88160001
06736 - ANGELONI - RUA CORONEL BERNARDO GRUBBA - 247 - JARAGUA DO SUL - SC;06736 - ANGELONI - RUA CORONEL BERNARDO GRUBBA - 247 - JARAGUA DO SUL - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;JARAGUA DO SUL;CENTRO;RUA CORONEL BERNARDO GRUBBA, 247;89251090
03044 - ANGELONI - AVENIDA DO ESTADO - 2440 - BALNEARIO CAMBORIU - SC;03044 - ANGELONI - AVENIDA DO ESTADO - 2440 - BALNEARIO CAMBORIU - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;BALNEARIO CAMBORIU;NACOES;AVENIDA DO ESTADO, 2440;88338063
02234 - ANGELONI - RUA BARAO DO RIO BRANCO - 732 - JARAGUA DO SUL - SC;02234 - ANGELONI - RUA BARAO DO RIO BRANCO - 732 - JARAGUA DO SUL - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;JARAGUA DO SUL;CENTRO;RUA BARAO DO RIO BRANCO, 732;89251400
02153 - ANGELONI - RUA SETE DE SETEMBRO - 100 - BLUMENAU - SC;02153 - ANGELONI - RUA SETE DE SETEMBRO - 100 - BLUMENAU - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;BLUMENAU;CENTRO;RUA SETE DE SETEMBRO, 100;89010200
02072 - ANGELONI - AVENIDA MARINHEIRO MAX SCHRAMM - 3450 - FLORIANOPOLIS - SC;02072 - ANGELONI - AVENIDA MARINHEIRO MAX SCHRAMM - 3450 - FLORIANOPOLIS - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;FLORIANOPOLIS;JARDIM ATLANTICO;AVENIDA MARINHEIRO MAX SCHRAMM, 3450;88095000
01939 - ANGELONI - RUA HUMBERTO DE CAMPOS - 77 - BLUMENAU - SC;01939 - ANGELONI - RUA HUMBERTO DE CAMPOS - 77 - BLUMENAU - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;BLUMENAU;VELHA;RUA HUMBERTO DE CAMPOS, 77;89036050
01505 - ANGELONI - RUA FREI ROGERIO - 587 - LAGES - SC;01505 - ANGELONI - RUA FREI ROGERIO - 587 - LAGES - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;LAGES;CENTRO;RUA FREI ROGERIO, 587;88502161
00967 - ANGELONI - AVENIDA DO CENTENARIO - 2699 - CRICIUMA - SC;00967 - ANGELONI - AVENIDA DO CENTENARIO - 2699 - CRICIUMA - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;CRICIUMA;CENTRO;AVENIDA DO CENTENARIO, 2699;88801000
00886 - ANGELONI - AVENIDA EXPEDICIONARIO JOSE PEDRO COELHO - 1120 - TUBARAO - SC;00886 - ANGELONI - AVENIDA EXPEDICIONARIO JOSE PEDRO COELHO - 1120 - TUBARAO - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;TUBARAO;HUMAITA;AVENIDA EXPEDICIONARIO JOSE PEDRO COELHO, 1120;88704306
10172 - ANGELONI - RODOVIA JOSE CARLOS DAUX SC 401 - 2684 - FLORIANOPOLIS - SC;10172 - ANGELONI - RODOVIA JOSE CARLOS DAUX SC 401 - 2684 - FLORIANOPOLIS - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;FLORIANOPOLIS;JOAO PAULO;RODOVIA JOSE CARLOS DAUX SC, 401;88030000
00703 - ANGELONI - RUA 13 DE MAIO - 12 - LAGUNA - SC;00703 - ANGELONI - RUA 13 DE MAIO - 12 - LAGUNA - SC;;MARCIO JOSE FLORES PEREIRA;8,3647E+13;ANGELONI;SC;LAGUNA;;RUA, 13;88790000
