DATA;DIA DA SEMANA;CONSULTOR;ROTA;REGIONAL;CONSULTOR - ROTA;CLIENTE;FILIAL;CNPJ;CHECK IN ;CHECK OUT
13/04/2026;MONDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;FRIGELAR;FRIGELAR - RIBEIRAO PRETO/SP;92660406000704;09:00;12:00
13/04/2026;MONDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;CLIMA RIO;CLIMA RIO - RIBEIRAO PRETO/SP;08824171003162;13:30;15:30
13/04/2026;MONDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;HAVAN;REGIONAL SUL - HAVAN - 0056 - RIBEIRAO PRETO - RIBEIRANIA - SP;79379491005657;16:00;17:00
14/04/2026;TUESDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;FRIGELAR;FRIGELAR - UBERLÂNDIA;92660406004378;11:30;16:00
15/04/2026;WEDNESDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;CENTRAL AR;CENTRAL AR - ARACATUBA/SP;08382929001963;11:00;12:00
15/04/2026;WEDNESDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;CENTRAL AR;CENTRAL AR - FRANQUIA ARACATUBA/SP;34628882000156;13:30;16:00
17/04/2026;FRIDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;HAVAN;REGIONAL SUL - HAVAN - 0046 - PLAZA AVENIDA SHOPPING - SAO JOSE DO RIO PRETO - JARDIM REDENTOR - SP;79379491004766;09:00;12:00
17/04/2026;FRIDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;FRIGELAR;FRIGELAR - SAO JOSE DO RIO PRETO/SP;92660406008446;13:30;18:00
16/04/2026;THURSDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;FRIGELAR;FRIGELAR - RIBEIRAO PRETO/SP;92660406000704;11:30;15:00
16/04/2026;THURSDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;CLIMA RIO;CLIMA RIO - RIBEIRAO PRETO/SP;08824171003162;15:30;17:00
20/04/2026;MONDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;FRIGELAR;FRIGELAR - RIBEIRAO PRETO/SP;92660406000704;11:30;15:00
20/04/2026;MONDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;CLIMA RIO;CLIMA RIO - RIBEIRAO PRETO/SP;08824171003162;15:30;17:00
22/04/2026;WEDNESDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;CLIMA RIO;CLIMA RIO - RIBEIRAO PRETO/SP;08824171003162;11:30;15:00
22/04/2026;WEDNESDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;FRIGELAR;FRIGELAR - RIBEIRAO PRETO/SP;92660406000704;15:30;17:00
23/04/2026;THURSDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;HAVAN;REGIONAL SUL - HAVAN - 0046 - PLAZA AVENIDA SHOPPING - SAO JOSE DO RIO PRETO - JARDIM REDENTOR - SP;79379491004766;09:00;12:00
23/04/2026;THURSDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;FRIGELAR;FRIGELAR - SAO JOSE DO RIO PRETO/SP;92660406008446;13:30;18:00
24/04/2026;FRIDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;FRIGELAR;FRIGELAR - RIBEIRAO PRETO/SP;92660406000704;11:30;15:00
24/04/2026;FRIDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;CLIMA RIO;CLIMA RIO - RIBEIRAO PRETO/SP;08824171003162;15:30;17:00
24/04/2026;FRIDAY;ALEXANDRE RIBEIRO LIMA;SPI_2;SUDESTE;CONSULTOR - SJRP;HAVAN;REGIONAL SUL - HAVAN - 0056 - RIBEIRAO PRETO - RIBEIRANIA - SP;79379491005657;11:30;15:00
13/04/2026;MONDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;CLIMA RIO;CLIMA RIO - ITABORAÍ/RJ;08824171003324;09:00;12:00
13/04/2026;MONDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;FRIOPEÇAS;FRIOPEÇAS - RAMOS/RJ;09316105000633;14:00;18:00
14/04/2026;TUESDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;CLIMA RIO;CLIMA RIO - ALCANTARA/RJ;05279736000164;09:00;12:00
14/04/2026;TUESDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;FRIGELAR;FRIGELAR - SÃO CRISTÓVÃO/RJ;92660406000895;14:00;18:00
15/04/2026;WEDNESDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;CLIMA RIO;CLIMA RIO - PENHA CIRCULAR/RJ;08824171000228;09:00;18:00
16/04/2026;THURSDAY;DIOGO DO NASCIMENTO SANTOS;RJ;SUDESTE;CONSULTOR - RJ;CLIMA RIO;CLIMA RIO - NITERÓI ICARAÍ/RJ;08824171004053;09:00;12:00
